@relation yelp_academic_dataset_review_training
@attribute business_id string
@attribute user_id string
@attribute stars numeric

@data
cNAWiLM4dR7D2nwwJ7nC,vJCcrpm2yOZrxKffwGQL,4.0
cNAWiLM4dR7D2nwwJ7nC,BLW4wJA_fwoWmMhiHRVO,4.0
cNAWiLM4dR7D2nwwJ7nC,vJCcrpm2yOZrxKffwGQL,4.0
cNAWiLM4dR7D2nwwJ7nC,rs3EICADUKNFoUq2iHSt,1.0
cNAWiLM4dR7D2nwwJ7nC,E5xVugujSaskAoh2DRx3,5.0
wUE5GmEO-sH1FuwJgKBl,vNimI98mrmhgNOOrzOiG,4.0
wUE5GmEO-sH1FuwJgKBl,4ySEi8PEli0auZGBsy6g,4.0
wUE5GmEO-sH1FuwJgKBl,Yaumz29bl9qHpu-KVtMG,4.0
wUE5GmEO-sH1FuwJgKBl,OYI9O0ecMJ9VaqcM9phN,4.0
wUE5GmEO-sH1FuwJgKBl,fww9ItvUBeRsFQ4UD4ea,4.0
wUE5GmEO-sH1FuwJgKBl,u3Qs-AAZEWu2_4gIMwRg,5.0
wUE5GmEO-sH1FuwJgKBl,hwN2juKYn-KTxa2WBYLn,4.0
wUE5GmEO-sH1FuwJgKBl,gKOL4k5tWCWS9VIc33Eo,4.0
wUE5GmEO-sH1FuwJgKBl,DiCwtVo-Aq9cD5bAKd8L,5.0
wUE5GmEO-sH1FuwJgKBl,C8r-m6KHifL6R2i8ok8y,3.0
wUE5GmEO-sH1FuwJgKBl,ih20jNIEPIkhkh-uxeyA,4.0
wUE5GmEO-sH1FuwJgKBl,ld8sdbL48rJzVXo4yMYW,5.0
wUE5GmEO-sH1FuwJgKBl,tpHvQFGbZ4sONaQAXank,3.0
wUE5GmEO-sH1FuwJgKBl,J_6gzvBj0mF943eWZ0cS,5.0
wUE5GmEO-sH1FuwJgKBl,XANAoF_6OOFdDwjpGZpQ,5.0
GykseHzyS5xAMWoN6YUq,lvmjewvLCwnbfwNoE-Xy,5.0
GykseHzyS5xAMWoN6YUq,5xcw6LCnnMhddoxkRIgU,5.0
GykseHzyS5xAMWoN6YUq,Gux2C8XzxDxSNgyR5YpD,4.0
GykseHzyS5xAMWoN6YUq,2_xNGF6nhsOoD2NpOa5d,5.0
GykseHzyS5xAMWoN6YUq,ViJPCbqIAIq5HPy7anIE,1.0
GykseHzyS5xAMWoN6YUq,4hxgsxvNmjv8dxIaI7Vy,4.0
GykseHzyS5xAMWoN6YUq,mBphqO9RndSywB5B1_L3,4.0
GykseHzyS5xAMWoN6YUq,6PKBSi09-Qi0v3T9IZwC,2.0
GykseHzyS5xAMWoN6YUq,A_oXZdiMqZqjxNp7gZwe,4.0
RKJF43s9-3jG9Lgx4zOD,e3hmkbr-pVaiqiCnxInQ,5.0
RKJF43s9-3jG9Lgx4zOD,sklUYBnk7LxzM-11yPUP,5.0
RKJF43s9-3jG9Lgx4zOD,TQHOi_-h1a02clSKCntz,4.0
RKJF43s9-3jG9Lgx4zOD,eue6umxTpA3o1eEydowZ,3.0
gDg-k9S5YD_BaxMckifk,5xcw6LCnnMhddoxkRIgU,5.0
gDg-k9S5YD_BaxMckifk,j18hvJRPLepZPNL7ySKp,3.0
gDg-k9S5YD_BaxMckifk,5kqM35IZggaPTpQJqcgw,4.0
LctHIA1AxmsgOuu4dM6V,YhKsAUQaaRGgdgcZC5XA,3.0
LctHIA1AxmsgOuu4dM6V,ITVDdfK07owxCA1x878V,2.0
LctHIA1AxmsgOuu4dM6V,CqjsTEPFLfjdCxI2Zq1W,1.0
LctHIA1AxmsgOuu4dM6V,SRCc7ip7DqRnUT0gJ6q_,1.0
LctHIA1AxmsgOuu4dM6V,VWIxcfkjxri5UruYABkr,1.0
LctHIA1AxmsgOuu4dM6V,wmiM7bsZZLv_WgiTXgRb,1.0
LctHIA1AxmsgOuu4dM6V,qTwwvkgk_qvfZ2k4ET4p,1.0
LctHIA1AxmsgOuu4dM6V,D4IhPuK-DwGBQb3RzQDc,1.0
LctHIA1AxmsgOuu4dM6V,YYVQMpKwrhjdLMY3q1EX,1.0
