@relation yelp_academic_dataset_tip

@attribute business_id string
@attribute date string
@attribute likes numeric
@attribute user_id string

@data
JwUE5GmEO-sH1FuwJgKBlQ,'2012-05-16',0,Vefj29mjork1DLhALLNAsg
JwUE5GmEO-sH1FuwJgKBlQ,'2014-03-29',0,Bbm6c5CHf5IJG5ju0ozXZQ
JwUE5GmEO-sH1FuwJgKBlQ,'2011-09-29',0,IORZRljfUkedhh1SGMthTA
uGykseHzyS5xAMWoN6YUqA,'2013-07-20',0,Bdmk6RQUP0sbXA_V9WiI3Q
uGykseHzyS5xAMWoN6YUqA,'2013-08-03',0,fjGh54rTqVn0ECKroIXwYQ
LRKJF43s9-3jG9Lgx4zODg,'2012-04-14',0,4Z4Bv3gEMbEmncLDDcrB4w
LRKJF43s9-3jG9Lgx4zODg,'2012-05-06',0,AHN3LdMw5L0DIJ5anXVcXQ
RgDg-k9S5YD_BaxMckifkg,'2011-08-19',0,u5xcw6LCnnMhddoxkRIgUA
RgDg-k9S5YD_BaxMckifkg,'2011-05-29',0,kj18hvJRPLepZPNL7ySKpg
95p9Xg358BezJyk1wqzzyg,'2014-06-12',0,5SpVLn2FV2V_ORdugExiIg
rdAdANPNOcvUtoFgcaY9KA,'2012-02-17',0,rL7XG25E24mErfg9sZ_-wA
rdAdANPNOcvUtoFgcaY9KA,'2012-06-07',0,hhVKwwMkejIS9f5_OILtBw
rdAdANPNOcvUtoFgcaY9KA,'2013-03-08',0,_ohPF8fo5ifWiMOrEPrC8Q
rdAdANPNOcvUtoFgcaY9KA,'2013-04-27',0,160obinCFJkK32rhCZ1uig
rdAdANPNOcvUtoFgcaY9KA,'2013-06-09',0,kI_3aHN5IkxRQc9_O8XBdw
rdAdANPNOcvUtoFgcaY9KA,'2013-08-25',0,6itqz-263KipP0RKwCkNTg
rdAdANPNOcvUtoFgcaY9KA,'2013-10-13',0,YA-SRBkkVZEbDFv6G_uCiw
rdAdANPNOcvUtoFgcaY9KA,'2014-01-18',0,GDFe4IjvsS1-aVJXqeLynw
rdAdANPNOcvUtoFgcaY9KA,'2014-02-07',0,RABj0zfAcnKPnxLVwAWzDg
rdAdANPNOcvUtoFgcaY9KA,'2012-01-08',0,Jv6lq527bHVW1EbrqzZXag
_wZTYYL7cutanzAnJUTGMA,'2011-07-22',0,YFWfdR8v3wEoezv-IogLPQ
_wZTYYL7cutanzAnJUTGMA,'2013-03-10',0,160obinCFJkK32rhCZ1uig
_wZTYYL7cutanzAnJUTGMA,'2013-09-08',0,160obinCFJkK32rhCZ1uig
_wZTYYL7cutanzAnJUTGMA,'2011-03-03',0,-Zi61Kgfee1OX6sDG3wbfw
zOc8lbjViUZajbY7M0aUCQ,'2012-10-11',0,HKFK6P35KX0VF67NtU0rwg
zOc8lbjViUZajbY7M0aUCQ,'2011-10-22',0,DBp9UzN6WyaFhqzTn7dXIw
SKLw05kEIlZcpTD5pqma8Q,'2012-03-24',0,6E7uP_vSGFVZt1_OoUVfYw
SKLw05kEIlZcpTD5pqma8Q,'2012-09-06',0,k_M8LHAb-eJiMJ8dohrEyw
SKLw05kEIlZcpTD5pqma8Q,'2013-07-28',0,im60WTfGLe_uy3X0Xp97JA
SKLw05kEIlZcpTD5pqma8Q,'2013-10-25',0,7oGpvNBBOh4MJOCMMR9Zjg
SKLw05kEIlZcpTD5pqma8Q,'2014-03-06',0,QBKzfolWUTa0Ka9ujSm4gw
SKLw05kEIlZcpTD5pqma8Q,'2014-05-04',0,QIC6eYpIE1jyJlxYwXcb7Q
SKLw05kEIlZcpTD5pqma8Q,'2014-05-13',0,DTX9svy1v-Jw9013pnYuwQ
SKLw05kEIlZcpTD5pqma8Q,'2012-02-28',0,VlYk1osWjBdhzkBl2kkr5A
77ESrCo7hQ96VpCWWdvoxg,'2013-02-15',0,oFhtzLhXS1iENWoBMdWk4w
368m5-RtrrYWf4hPM_bMlg,'2012-10-12',0,Nk-itx7fbK6dNgkHlEzbfQ
YjoSdr8uJslIebsQP6c18w,'2013-09-23',0,whQv-CPMQC5Ia7p7-c-h9w
rKNtd_M2kWDW8sQKYzetKA,'2013-02-04',0,mDqWHJG-NQq9ycwV07wjkg
rKNtd_M2kWDW8sQKYzetKA,'2010-09-10',0,fXXfTxrYAipOtDHVedZN_Q
1-EIdeHewfEVcpoZm38N8A,'2011-05-10',0,I2Xl2gSZhKmCl5WeTchBmg
1-EIdeHewfEVcpoZm38N8A,'2012-09-28',0,YJA1lVlA7NAknIQldUIcCQ
1-EIdeHewfEVcpoZm38N8A,'2012-10-10',0,vXdhpf3yihFoqn2i4SNF_Q
1-EIdeHewfEVcpoZm38N8A,'2013-01-28',0,7gJTiX42L4jimemb4vG6zA
1-EIdeHewfEVcpoZm38N8A,'2013-09-15',0,v73I--zwCCAcOGx8um-ifg
1-EIdeHewfEVcpoZm38N8A,'2014-04-22',0,dZVYg-g6UuACKiE9gV33Lw
1-EIdeHewfEVcpoZm38N8A,'2011-02-17',0,I2Xl2gSZhKmCl5WeTchBmg
MKsb2VpLB-0UBODcInDsSw,'2012-07-29',0,mur7-hRX-PTZy64QscTw5w
MKsb2VpLB-0UBODcInDsSw,'2012-11-08',0,UemFsoJ5moFqg2C9RBLbQg
ShEYKerTwb2LSORE5o_s7A,'2012-11-17',0,yn2TsnhyiTZ8DJd1XYZ1jg
ShEYKerTwb2LSORE5o_s7A,'2013-06-30',0,XJ6jQHWU6REa4qFMM6fa_g
ShEYKerTwb2LSORE5o_s7A,'2013-07-23',0,03vp3tenQ0aQOr0AE5j8Uw
ShEYKerTwb2LSORE5o_s7A,'2013-09-22',0,L-cexm4-3KDqtL6kGfjzBA
ShEYKerTwb2LSORE5o_s7A,'2013-09-25',0,L-cexm4-3KDqtL6kGfjzBA
ShEYKerTwb2LSORE5o_s7A,'2013-10-14',0,whQv-CPMQC5Ia7p7-c-h9w
ShEYKerTwb2LSORE5o_s7A,'2013-10-15',0,aoDM2oE3P4dNoFDKRljVkg
HaBkx5PwvbBpQ2iNCgHnVQ,'2013-07-12',0,Jpb5uSnlLKD4RJzk7UGwkQ
KW6HejC-67KSL9J8Cz1dSw,'2011-04-19',0,Cpdt5jEaoB3Q1_WQ3lz-qg
KW6HejC-67KSL9J8Cz1dSw,'2013-01-19',0,KtMOMSqbd1Mk7PbDUQ2CfA
KW6HejC-67KSL9J8Cz1dSw,'2013-02-05',0,jKIPFDM8y5oD7QoYci_jZQ
KW6HejC-67KSL9J8Cz1dSw,'2013-04-18',0,bB7-YXZyojPPuKK4-FXZfg
KW6HejC-67KSL9J8Cz1dSw,'2013-11-26',0,aoDM2oE3P4dNoFDKRljVkg
KW6HejC-67KSL9J8Cz1dSw,'2014-01-28',0,aoDM2oE3P4dNoFDKRljVkg
KW6HejC-67KSL9J8Cz1dSw,'2014-05-26',0,-SsOMDS_QweHR588jfosuw
KW6HejC-67KSL9J8Cz1dSw,'2010-06-17',0,bL4YJhpYOQDSd-UibtILdw
